,id,image_id,caption,Translate
64,564,520049,A man rides a bicycle across the river. ,یک مرد سوار دوچرخه در سراسر رودخانه.
65,565,385716,A man and a woman stand on the sidewalk lined with street lights.,یک مرد و یک زن در پیاده رو به انتظارنشسته بودند با چراغ های خیابانی ایستاده است.
66,566,538480,a bathroom with toilet and sink and blue wall,یک حمام با توالت و سینک و دیوار آبی
67,567,56972,A bathroom in white has a cupboard above the sink.,حمام به رنگ سفید است یک کمد بالای سینک.
68,568,187042,A bike and a raft sit atop a boat on the water.,یک دوچرخه و یک قایق در بالای یک قایق بر روی آب نشسته است.
69,569,31813,a surfer rides his bike down the street,یک SURFER دوچرخه سواری خود در خیابان
70,570,101891,"Bicycles, cars and a trash can in a garage.",دوچرخه، اتومبیل و یک سطل زباله در یک گاراژ.
71,571,360306,A man in shorts standing at the kitchen sink.,یک مرد در شورت ایستاده در سینک آشپزخانه.
72,572,124567,A cat standing on a car seat looking out the car window.,گربه ایستاده بر روی یک صندلی در به دنبال از پنجره ماشین.
73,573,90359,A man jumping his bicycle onto a bench.,یک مرد پریدن دوچرخه خود را بر روی یک نیمکت.
74,574,360334,young man with folded arms standing in the kitchen ,مرد جوان دست به سینه ایستاده در آشپزخانه
75,575,90359,A man balancing a bike on a bench.,یک مرد تعادل دوچرخه بر روی یک نیمکت.
76,576,213532,Black and white image of two children paying attention. ,سیاه و سفید تصویر دو کودک توجه می کنند.
77,577,302443,Silver balls are lined up in the sand as people mill about in the background.,توپ های نقره ای می شوند تا در شن و ماسه به عنوان آسیاب مردم به انتظارنشسته بودند مورد در پس زمینه.
78,578,24091,A compact car with bicycles mounted on the roof. ,ماشین جمع و جور با دوچرخه بر روی سقف نصب شده است.
79,579,302443,Silver balls on sand with people walking around. ,توپ و نقره ای در شن و ماسه با مردم راه رفتن در اطراف.
80,580,372427,A crisp neutral bathroom embellished with modern treatments.,حمام خنثی ترد و تاب با درمان های مدرن است.
81,581,376047,A kitchen scene with stainless steel appliance and a checkered pattern floor.,صحنه آشپزخانه با لوازم فولاد ضد زنگ و یک طبقه الگوی شطرنجی.
82,582,577876,A lady talking a self portrait in a fancy bathroom.,بانوی صحبت کردن یک پرتره از خود در حمام فانتزی.
83,583,47093,A woman walking and talking on a cell phone.,راه رفتن زن و صحبت کردن در تلفن همراه.
84,584,266366,A modern hotel bathroom with accessories set out.,حمام هتل مدرن با لوازم جانبی مجموعه ای از.
85,585,299675,A white kitchen without doors on the cabinets.,آشپزخانه سفید بدون درب در کابینت.
86,586,374873,A man on top of a snowy mountain with skis.,یک مرد در بالای یک کوه پوشیده از برف با اسکی.
87,587,32275,A clean restroom with towels and washcloths laid out.,یک سرویس بهداشتی تمیز با حوله و کیسه حمام گذاشته.
88,588,360334,A man standing in a white kitchen with his arms folded.,مرد ایستاده در یک آشپزخانه سفید با اسلحه خود را خورده.
89,589,360053,A stuffed animal is laying on the bed by a window.,یک حیوان پر است تخمگذار در بستر یک پنجره.
90,590,25470,"A kitchen contains black countertops, brown cabinets, and a red and white tile blacksplash.",آشپزخانه شامل صفحات میز سیاه و سفید، کابینت قهوه ای، و یک کاشی تخته سنگ آکواریوم قرمز و سفید.
91,591,517565,A wooden toilet seat sits open in an empty bathroom.,صندلی توالت های چوبی نشسته باز در حمام خالی است.
92,592,543882,A decorated table covered with plates of food and vegetables. ,جدول تزئین شده با صفحات از مواد غذایی و سبزیجات پوشیده شده است.
93,593,134754,A couple at the beach walking with their surf boards.,زن و شوهر در پیاده روی ساحل با بک گشت و گذار خود.
94,594,517565,A bathroom with a sink shower and toilette.,حمام با دوش سینک و توالت.
95,595,389006,A phone and a computer on a kitchen counter.,یک تلفن و یک کامپیوتر در یک آشپزخانه.
96,596,124567,A person is taking a photo of a cat in a car.,فردی گرفتن یک عکس از یک گربه در یک ماشین.
97,597,38682,a picture of a man riding a bicycle at night,یک عکس از یک مرد سوار بر یک دوچرخه در شب
98,598,539984,A large hours is eating grass in a field. ,ساعت بزرگ در حال خوردن علف در یک میدان.
99,599,28231,A blurry bike rider zooms past a new Mercedes. ,تار زوم دوچرخه سوار گذشته یک خودروی مرسدس بنز جدید است.
